,Date,Low,High,Close,Open
176,2011-11-21,3.8607,4.1968,4.0815,4.1584
175,2007-11-19,19.4954,21.3008,19.7931,21.128
174,2005-12-16,32.345,34.0929,33.7567,32.345
173,2012-01-05,4.869,5.2628,5.2532,4.9459
172,2008-01-02,12.7248,14.0021,12.792,13.9733
171,2012-10-10,10.6312,10.9769,10.8905,10.8521
170,2015-07-13,40.6678,41.4044,41.1136,40.6678
169,2015-06-18,38.3902,38.9814,38.7439,38.5743
168,2010-11-11,10.1318,10.5064,10.3911,10.2567
167,2015-05-07,45.9403,48.0919,47.5492,45.9403
166,2014-04-01,35.3894,36.6762,36.4361,35.4854
165,2011-09-23,5.4453,5.9446,5.887,5.4549
164,2008-12-29,6.8474,7.1547,7.1259,6.9722
163,2014-12-30,50.9928,51.8325,51.5622,51.1568
162,2014-07-29,37.8287,39.2308,37.9631,39.0387
161,2016-08-11,33.6268,34.4517,34.3339,33.6366
160,2015-09-24,38.7775,39.9773,39.103,39.9773
159,2014-02-20,33.0653,34.2556,34.2465,33.0653
158,2017-10-20,51.0611,51.7646,51.4575,51.0908
157,2007-10-30,26.045,27.4376,27.3415,26.1795
156,2014-03-19,35.2261,36.1384,35.6102,35.7927
155,2011-12-23,5.2052,5.4933,5.3972,5.4741
154,2011-12-30,4.8498,5.0227,4.869,4.9843
153,2011-09-13,4.5425,5.6469,5.4164,4.7058
152,2017-06-29,48.2763,49.1317,49.0674,48.7312
151,2015-01-08,51.3982,52.3923,51.7939,51.6202
150,2012-10-12,10.6888,11.0346,10.9097,10.7561
149,2013-11-15,22.3957,23.0967,22.9431,22.7894
148,2015-11-05,43.8408,44.6197,44.3958,44.4931
147,2015-03-18,51.5905,52.8092,52.3546,51.929
146,2017-02-17,45.813,46.4741,46.2866,46.2077
145,2012-03-15,6.7802,7.4332,7.2795,6.7898
144,2008-06-30,2.2569,2.545,2.4009,2.3337
143,2016-03-21,42.2556,42.7437,42.4411,42.2946
142,2007-07-13,32.5467,33.0941,32.7484,32.758
141,2014-05-01,34.0593,35.2453,34.9476,34.4386
140,2017-12-14,49.7276,51.0037,49.8617,50.2391
139,2011-04-11,7.4524,7.9134,7.9134,7.5581
138,2009-08-31,3.1884,3.3613,3.2652,3.3613
137,2009-08-27,3.4189,3.659,3.5053,3.659
136,2014-08-04,36.2315,38.3689,36.7225,38.0223
135,2011-03-07,7.6925,8.0382,7.971,7.8654
134,2011-04-14,7.7117,7.9518,7.7405,7.875
133,2017-07-28,48.1873,50.1057,49.9277,48.4741
132,2011-11-08,4.9939,5.2244,5.0035,5.2244
131,2013-03-18,15.0873,15.6827,15.6443,15.1737
130,2010-05-07,5.8582,6.5113,6.1271,6.2039
129,2015-12-14,39.9951,41.7379,40.6669,41.144
128,2008-03-10,9.8725,10.7176,9.8821,10.6696
127,2015-12-18,39.6252,41.1926,40.0049,40.5111
126,2017-10-03,47.1966,50.1296,50.0504,47.2263
125,2016-07-28,35.0052,35.7689,35.5829,35.3185
124,2012-07-06,12.7824,13.5315,13.3202,12.7824
123,2007-02-08,55.3361,57.1608,56.9591,55.701
122,2012-05-30,11.9661,12.3407,12.187,12.1006
121,2008-07-23,4.0143,5.0323,4.8594,4.5617
120,2008-09-12,7.0106,7.7405,7.5677,7.1355
119,2008-10-03,6.1079,7.1643,6.2328,6.9722
118,2018-06-06,42.7687,44.1151,44.0753,43.3372
117,2010-02-19,6.3864,6.6841,6.6553,6.3864
116,2008-07-18,2.3337,2.7851,2.7562,2.4969
115,2012-05-02,9.6612,9.9686,9.8533,9.7477
114,2008-04-09,8.384,9.5172,8.4896,9.2963
113,2007-01-18,55.1248,57.2856,55.5378,56.3253
112,2018-09-10,38.49,39.49,39.43,38.66
111,2008-11-28,5.426,5.7334,5.7238,5.4645
110,2008-10-20,6.4344,7.1739,7.0971,6.8954
109,2011-10-18,5.5797,5.9158,5.7814,5.5797
108,2007-06-12,27.6872,28.5228,28.033,28.5228
107,2018-01-16,57.1309,58.6702,57.5778,58.3822
106,2012-01-12,5.5029,5.8582,5.8102,5.6661
105,2010-04-01,7.0106,7.1931,7.1067,7.0779
104,2009-02-24,3.2172,3.5918,3.5149,3.4189
103,2010-03-19,6.7898,7.2411,6.8186,6.8186
102,2012-05-09,10.151,10.5256,10.3623,10.468
101,2007-10-09,29.8673,32.1241,30.2802,30.5299
100,2018-05-10,41.4022,42.3497,41.9308,41.4022
99,2009-08-07,2.9483,3.1884,3.0828,3.0155
98,2016-09-02,35.3552,36.0427,35.8758,35.3552
97,2018-03-05,52.4296,53.4286,52.9272,52.6386
96,2009-05-15,2.8907,3.1596,2.9195,3.15
95,2006-01-30,27.5912,28.4075,27.8505,27.5912
94,2011-07-12,7.5869,7.7309,7.6349,7.7021
93,2008-10-24,5.7814,8.1535,7.6541,6.0503
92,2012-04-12,7.3372,7.6253,7.5773,7.3468
91,2009-10-09,4.1776,4.3696,4.2928,4.1872
90,2016-09-07,36.7498,38.8122,38.056,36.8284
89,2006-10-02,43.0723,44.7049,44.2823,43.2163
88,2010-12-16,9.7285,9.8821,9.7285,9.7765
87,2017-05-03,42.843,43.583,43.3363,43.0897
86,2010-10-28,11.2939,11.7548,11.4091,11.5436
85,2018-02-26,53.6536,54.8576,54.7282,53.7232
84,2008-02-26,13.0033,13.5411,13.3394,13.0609
83,2016-10-31,39.3622,40.0791,39.8729,39.5881
82,2007-02-28,48.5943,50.467,50.2173,49.7084
81,2008-09-23,6.7321,7.2411,6.7802,6.8858
80,2018-01-25,51.8478,54.1716,52.682,53.6254
79,2006-07-31,42.9762,45.9245,43.879,45.9053
78,2010-01-14,5.1956,5.4837,5.3684,5.2436
77,2006-05-25,41.6797,43.005,42.1599,42.496
76,2017-08-08,49.3344,50.2145,49.4432,50.1156
75,2009-12-02,3.6206,3.8222,3.8126,3.6206
74,2011-11-23,3.803,3.8991,3.8414,3.8607
73,2006-12-18,53.06,55.1248,53.5882,54.3757
72,2006-10-26,46.7985,48.7864,47.4707,47.8837
71,2009-12-21,4.2832,4.4465,4.4177,4.3408
70,2015-03-25,50.2268,52.0161,50.3041,51.8613
69,2006-09-20,44.6953,45.598,45.4443,45.5212
68,2014-09-12,36.2315,37.0788,36.2507,36.6744
67,2005-11-09,28.2635,30.0593,30.0593,28.2635
66,2012-06-08,10.7369,11.7452,11.6684,10.8905
65,2018-06-22,40.9135,42.2999,41.2426,41.3523
64,2011-11-30,4.1488,4.5329,4.5329,4.4561
63,2007-07-03,29.7232,31.6535,31.5575,29.8
62,2016-08-19,35.4544,36.082,35.8365,35.7874
61,2011-07-29,5.5413,6.0407,5.9927,5.6853
60,2016-07-29,34.7604,35.9736,34.7604,35.5045
59,2017-08-25,42.6186,45.0166,44.8382,42.6979
58,2018-02-02,51.6691,53.6155,51.7386,53.1189
57,2008-12-30,7.0395,7.4524,7.2315,7.1835
56,2007-03-07,47.077,48.3831,47.3939,48.0949
55,2009-01-16,7.4428,8.3167,8.1919,7.7117
54,2011-08-15,5.33,5.8966,5.6469,5.3492
53,2016-02-02,36.0229,37.9408,36.0521,37.8045
52,2012-04-18,7.7789,8.019,7.875,7.7981
51,2006-03-08,30.8276,32.5467,32.1337,31.1253
50,2009-09-30,4.4657,4.7538,4.5137,4.725
49,2007-02-02,54.4141,56.4309,55.6818,54.7407
48,2006-05-01,41.4781,42.2559,41.9486,41.4781
47,2013-06-12,15.99,16.5182,16.2109,16.2973
46,2010-01-22,4.9075,5.3012,5.0323,5.2628
45,2014-02-28,34.6403,35.5142,35.4662,34.6787
44,2018-05-07,42.0141,43.1177,42.3298,42.8085
43,2017-01-03,45.4238,46.6102,45.5862,46.5511
42,2016-11-04,38.6351,39.6,39.1274,38.6646
41,2018-02-12,48.4096,50.2604,49.8425,48.5489
40,2012-09-07,10.8809,11.7164,11.6588,10.9385
39,2014-05-22,36.7819,37.3389,37.1852,36.7819
38,2012-01-09,5.33,5.5701,5.4933,5.3396
37,2012-10-16,10.8809,11.1306,11.121,11.0058
36,2011-08-09,4.9075,5.5701,5.5605,4.9267
35,2015-12-08,42.9062,44.3081,43.3735,43.909
34,2009-04-24,4.4945,4.8594,4.6482,4.6001
33,2007-12-18,13.8388,14.4823,14.223,14.2614
32,2014-11-20,41.6977,43.1648,42.6243,42.132
31,2009-08-04,2.5642,2.9963,2.8907,2.6506
30,2007-06-28,29.656,31.0101,29.7712,29.9633
29,2018-03-21,52.9023,54.3402,53.8227,53.9421
28,2016-07-15,34.5841,35.3087,35.1423,34.7702
27,2018-09-19,40.7,41.7668,41.6,40.79
26,2016-05-09,32.2537,33.0958,32.2537,32.3418
25,2006-03-14,31.788,33.1805,32.7484,31.788
24,2015-01-21,50.1434,52.1221,51.8035,50.819
23,2011-01-26,10.0742,10.8329,10.3719,10.1414
22,2011-03-30,8.5088,8.7297,8.6145,8.5472
21,2009-08-10,2.9195,3.0732,2.9483,3.054
20,2007-01-08,54.7791,58.0827,55.6338,55.0288
19,2013-07-12,16.6623,17.1425,16.864,16.6719
18,2008-12-03,5.3588,5.9254,5.9254,5.4933
17,2008-10-15,4.9843,5.791,5.0803,5.33
16,2011-03-16,8.1727,8.6529,8.2111,8.528
15,2014-08-29,36.9343,37.8875,37.436,37.6468
14,2013-02-28,12.8593,13.0897,12.8977,12.9553
13,2008-01-29,12.3118,13.0417,12.5807,12.6384
12,2011-08-26,4.8018,5.0515,5.0515,4.8498
11,2015-05-26,40.0863,41.763,40.2753,41.7242
10,2010-11-16,10.1798,10.6216,10.2663,10.199
9,2005-10-24,21.08,21.4737,21.4257,21.1376
8,2012-03-26,7.1259,7.4428,7.4236,7.3276
7,2011-02-10,9.2675,9.546,9.4596,9.4404
6,2006-12-13,56.306,59.9746,56.9015,58.899
5,2017-09-14,45.7003,46.5129,45.7697,46.3642
4,2010-07-08,8.7585,9.2291,9.1619,9.0178
3,2012-05-11,10.3815,11.0154,10.8713,10.3911
2,2012-02-02,8.4896,8.8834,8.7585,8.6145
1,2009-11-16,3.1308,3.3036,3.246,3.1404
0,2008-11-26,5.186,5.7334,5.6661,5.2628
