,Date,Low,High,Close,Open
2799,2005-05-05,113.2897,114.664,113.8414,114.664
2798,2013-01-25,376.2866,380.4143,378.0019,376.5474
2797,2018-09-21,1172.06,1196.58,1172.12,1194.92
2796,2005-03-03,92.4404,94.1657,93.792,93.3532
2795,2007-07-05,266.8989,273.0429,271.6536,268.6092
2794,2015-12-07,766.72,781.0,772.99,780.06
2793,2016-08-02,794.53,802.32,800.12,797.33
2792,2006-03-06,184.1384,192.2936,184.6199,190.9193
2791,2005-03-09,90.3589,92.6109,90.9558,92.3902
2790,2017-07-19,987.01,995.6,992.77,990.01
2789,2009-03-16,159.7883,165.3755,160.34,163.4997
2788,2013-11-29,531.3653,534.9614,531.4355,532.7245
2787,2006-06-12,191.0899,195.8496,191.3607,194.0239
2786,2013-10-22,499.4372,508.0684,505.0591,504.056
2785,2015-01-20,509.37,515.61,509.94,512.77
2784,2007-08-23,254.285,258.8641,256.888,258.7989
2783,2007-03-01,220.6812,226.9105,224.809,222.0204
2782,2010-08-25,225.6967,229.6138,228.0139,225.6967
2781,2009-07-14,211.0866,214.0257,213.0025,212.511
2780,2004-09-15,55.2706,57.2919,56.1734,55.4512
2779,2010-09-17,241.335,246.3605,245.8339,242.624
2778,2013-04-11,393.2439,397.7779,396.4187,397.6676
2777,2007-01-05,239.7952,244.5048,244.3493,241.997
2776,2006-04-20,204.732,219.1716,208.1425,206.5877
2775,2015-08-21,643.104,672.89,644.03,671.04
2774,2017-06-16,948.7,959.95,958.62,957.91
2773,2004-12-01,90.053,91.5326,90.2586,91.1664
2772,2016-10-26,816.35,827.71,822.1,827.12
2771,2018-06-05,1147.46,1161.1,1151.02,1154.66
2770,2006-02-23,183.2607,191.2102,189.6203,183.2707
2769,2010-09-28,260.0277,267.6211,264.4012,267.566
2768,2017-09-08,940.01,950.7,941.41,949.7
2767,2009-03-02,163.5047,170.8774,164.0865,167.1811
2766,2012-10-18,339.0466,380.8883,348.576,378.9398
2765,2017-06-12,936.8,968.0,961.81,958.72
2764,2015-02-05,525.64,530.69,529.83,527.93
2763,2006-12-05,243.1957,245.4778,244.254,244.4546
2762,2013-04-05,389.402,394.7134,392.7373,394.247
2761,2010-07-23,240.7482,246.0545,245.7887,241.1293
2760,2011-11-07,297.0319,305.3325,305.1068,297.5786
2759,2009-04-15,182.6438,191.12,190.3376,184.1184
2758,2007-10-24,330.8012,339.7839,338.9563,337.3965
2757,2012-11-12,331.4582,335.937,333.981,332.9026
2756,2016-08-17,796.3,805.63,805.42,800.0
2755,2010-05-13,255.9752,261.8082,256.231,259.0497
2754,2006-09-08,188.9432,190.9846,189.51,188.9432
2753,2004-08-20,50.4056,54.7089,54.3227,50.6614
2752,2012-08-29,339.1218,345.5617,345.0702,339.7337
2751,2013-12-13,530.5778,539.8113,532.0373,539.365
2750,2012-10-02,376.2966,384.1809,379.667,383.7847
2749,2016-07-22,752.655,759.45,759.28,757.32
2748,2012-12-03,348.1301,354.0379,348.7014,352.2072
2747,2007-07-18,272.7469,278.1085,275.6008,277.8025
2746,2015-09-23,650.7301,660.28,653.29,652.9
2745,2016-09-29,800.855,813.91,802.64,807.23
2744,2015-08-20,675.2801,696.16,679.48,689.1
2743,2013-04-26,399.5233,405.1206,401.9508,405.0504
2742,2013-10-23,501.8642,518.977,517.3019,502.0498
2741,2017-08-03,939.44,950.0,940.3,949.1
2740,2005-04-12,94.9983,97.511,97.2778,96.7988
2739,2009-09-11,234.539,237.3828,236.801,235.9283
2738,2008-03-05,222.6874,227.7882,224.5431,223.3144
2737,2007-04-13,232.3974,235.1108,233.8669,234.9503
2736,2009-07-30,221.9903,226.434,223.51,221.9903
2735,2015-12-15,758.0,774.75,760.09,767.79
2734,2013-01-02,359.3844,364.6256,362.7448,360.8238
2733,2012-09-11,346.5698,351.4098,347.1667,350.0606
2732,2011-02-01,302.4893,307.6271,306.466,303.1809
2731,2011-05-27,258.9494,261.7029,261.2565,260.0427
2730,2007-12-27,351.4541,359.1085,351.4549,354.6297
2729,2017-06-21,969.45,979.55,978.59,970.79
2728,2013-09-05,437.1545,441.3023,441.1418,438.1024
2727,2017-08-16,940.04,949.9,944.27,941.25
2726,2007-03-28,230.7874,233.4406,231.6551,231.6501
2725,2010-05-24,239.1382,245.6533,239.3188,241.1093
2724,2013-03-27,401.9056,404.7494,402.5727,404.5889
2723,2017-11-30,1030.07,1044.14,1036.17,1039.94
2722,2009-08-14,229.1524,232.3071,230.7122,232.1065
2721,2013-01-22,348.8368,353.7595,352.5232,353.421
2720,2008-08-27,233.1397,238.1501,235.0155,237.5984
